trace_id	family_id	requested_bytes	live_count	allocation_calls_full_trace
576	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	2776	1	1
3543	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	1472	90	92
3261	096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	1456	1	2
3707	2bc56048b24176b1607f5a9248d31e911dbadb2c4ef1929d038361c9598f3289	1436	1	1
251	096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	1344	1	1
3637	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	1264	66	79
3310	6abb066cf89663373768d54528edf59c7d2089ee2c4a0637ae919947ff155460	1248	1	1
3817	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	1208	151	940
3813	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	1182	197	197
3436	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	1128	141	2333
570	096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	992	1	1
3778	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	848	37	53
3779	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	830	415	415
3875	b4b209c65185ca8c9d2323f054be7a1f73d613d47ed9a29a5ddb002550fc368e	720	80	80
3222	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	707	8	8
3827	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	688	35	43
3447	ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	640	32	32
3448	ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	640	32	32
3819	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	640	8	8
3820	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	640	8	8
26	549d2828f4bd60b6f928e9649aeef9539a53e8115de8c250dc64ff495cff50ca	544	1	1
157	268f7bdf5b2adcdad40216436e81d1d98b856a0cac65cbcb37464faf2346fa85	522	1	1
3603	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	456	57	2669
236	268f7bdf5b2adcdad40216436e81d1d98b856a0cac65cbcb37464faf2346fa85	450	1	1
3871	b4b209c65185ca8c9d2323f054be7a1f73d613d47ed9a29a5ddb002550fc368e	400	44	44
3879	baefb88c68da06e8c362bd8929c568e0523f83fa54eb3f6aec121155b0dd6c98	384	16	16
3661	5663a90e5ad0f920cc3ce3a753441f8ac3826da4d66c827db4510731cb58435e	348	82	82
3823	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	344	43	43
3814	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	336	42	42
3218	a1e3283a7532242597e47eba3280f608ee0f4030bdae532505ee27aa8e8af194	312	2	2
3636	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	296	37	103
3449	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	288	18	18
3880	baefb88c68da06e8c362bd8929c568e0523f83fa54eb3f6aec121155b0dd6c98	256	16	16
3835	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	232	1	1
3216	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	212	11	11
3849	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	200	1	1
577	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	176	1	1
3831	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	176	11	11
3258	96017cb921d87cd5c0ab08e89669fcc08b50f6d93e7eb9213e59f88be19918cb	160	1	3
3873	b4b209c65185ca8c9d2323f054be7a1f73d613d47ed9a29a5ddb002550fc368e	160	20	20
3791	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	136	17	21
